timestamp,temp_C,humidity_%,accel_x,accel_y,accel_z,accel_mag,anomaly,time_str,anomaly_score,raw_anomaly,label_overall,z_temp_C,z_humidity_%,z_accel_x,z_accel_y,z_accel_z,contributing_features
2025-06-04 20:11:07.891226-04:00,21.04,68.02,0.0797119140625,-0.122802734375,0.9971923828125,1.0078825076132414,0,08:11:07 PM,0.09908908786888121,1,normal,-0.16466888631597848,-1.5980303867928418,-0.3213797766295426,-0.5898935620515153,0.5203096729583013,
2025-06-04 20:11:09.226079-04:00,21.05,68.02,0.0797119140625,-0.1214599609375,0.9925537109375,1.0031297924248133,0,08:11:09 PM,0.0996014262965203,1,normal,-0.14321365682855236,-1.5980303867928418,-0.3213797766295426,-0.5810522919182365,0.4393276226924177,
2025-06-04 20:11:10.665152-04:00,21.05,68.01,0.07861328125,-0.124267578125,0.9981689453125,1.0089418825424055,0,08:11:10 PM,0.09860789998330616,1,normal,-0.14321365682855236,-1.5991312050798492,-0.32815954337941866,-0.5995385840150922,0.5373585256458557,
2025-06-04 20:11:11.983722-04:00,21.07,68.13,0.071044921875,-0.138671875,0.991943359375,1.0041060193268443,0,08:11:11 PM,0.09712002809482262,1,normal,-0.10030319785370775,-1.5859213856357501,-0.3748646032118983,-0.6943812999902652,0.42867208976269616,
2025-06-04 20:11:13.364243-04:00,21.07,68.25,0.0760498046875,-0.1575927734375,0.9886474609375,1.0040133749362583,0,08:11:13 PM,0.09599463667979868,1,normal,-0.10030319785370775,-1.5727115661916493,-0.3439789991291295,-0.8189628336864669,0.3711322119421999,
2025-06-04 20:11:14.805216-04:00,21.05,68.15,0.0723876953125,-0.15673828125,0.9942626953125,1.0091408100616766,0,08:11:14 PM,0.0968088341350774,1,normal,-0.14321365682855236,-1.5837197490617323,-0.36657822162871645,-0.8133365708743804,0.469163114895638,
2025-06-04 20:11:16.182303-04:00,21.07,68.07,0.065185546875,-0.1387939453125,0.9951171875,1.0068620221434077,0,08:11:16 PM,0.10130163024951805,1,normal,-0.10030319785370775,-1.5925262953578003,-0.4110233592112374,-0.6951850518205632,0.4840808609972481,
2025-06-04 20:11:17.506616-04:00,21.07,68.06,0.0518798828125,-0.1336669921875,0.9974365234375,1.007689438928571,0,08:11:17 PM,0.1024780155010313,1,normal,-0.10030319785370775,-1.5936271136448077,-0.49313386762640327,-0.6614274749480441,0.5245718861301899,
2025-06-04 20:11:18.884251-04:00,21.07,68.02,0.2667236328125,-0.1905517578125,1.0081787109375,1.0601300778176848,0,08:11:18 PM,0.05554442921410668,1,normal,-0.10030319785370775,-1.5980303867928418,0.8326871856826971,-1.0359758278669475,0.7121092656932888,
2025-06-04 20:11:20.263353-04:00,21.07,68.01,0.1429443359375,0.1085205078125,0.910400390625,0.9279216858348814,0,08:11:20 PM,0.057013219271886906,1,normal,-0.10030319785370775,-1.5991312050798492,0.06883346519665855,0.9332161563633385,-0.9949071096480996,
2025-06-04 20:11:21.585723-04:00,21.07,68.04,0.0682373046875,-0.1962890625,0.956787109375,0.9790951427079555,0,08:11:21 PM,0.08282978884765446,1,normal,-0.10030319785370775,-1.595828750218824,-0.39219067379491496,-1.073752163890957,-0.18508660698926366,
2025-06-04 20:11:22.963312-04:00,21.07,68.15,0.140625,-0.229736328125,1.0667724609375,1.1002534501195658,0,08:11:22 PM,0.0025260809495014636,1,normal,-0.10030319785370775,-1.5837197490617323,0.054520624280253484,-1.2939801653926297,1.7350404269465551,
2025-06-04 20:11:24.346060-04:00,21.07,68.15,-0.0220947265625,0.0994873046875,1.0059814453125,1.0111303422649731,0,08:11:24 PM,0.09002248876135716,1,normal,-0.10030319785370775,-1.5837197490617323,-0.9496381621180594,0.8737385209212809,0.6737493471462913,
2025-06-04 20:11:25.663956-04:00,21.07,68.07,0.4022216796875,-0.00830078125,0.92236328125,1.0062828653903737,0,08:11:25 PM,0.03845363742020114,1,normal,-0.10030319785370775,-1.5925262953578003,1.6688584181674138,0.16402565476807984,-0.7860586642255577,
2025-06-04 20:11:27.045644-04:00,21.08,68.13,0.4349365234375,-0.044189453125,0.8504638671875,0.9562485433081209,1,08:11:27 PM,-0.010380007406077585,-1,anomaly,-0.07884796836628927,-1.5859213856357501,1.8707448058303904,-0.07227738333955448,-2.0412804433467535,multivariate
2025-06-04 20:11:28.423362-04:00,21.08,68.18,0.081787109375,-0.07373046875,1.287109375,1.2918110761620305,1,08:11:28 PM,-0.030062551512159752,-1,anomaly,-0.07884796836628927,-1.580417294200707,-0.3085735505464433,-0.2667853262716889,5.581687814576026,accel_z
2025-06-04 20:11:29.804272-04:00,21.08,68.19,0.1181640625,-0.1025390625,0.98583984375,0.9981769394901423,0,08:11:29 PM,0.10025623053108307,1,normal,-0.07884796836628927,-1.5793164759136997,-0.08408794038387973,-0.4564707582220347,0.32211676046548093,
2025-06-04 20:11:31.111552-04:00,21.09,68.14,0.369873046875,0.0035400390625,0.8497314453125,0.9267481490858399,1,08:11:31 PM,-0.013267372877340367,-1,anomaly,-0.05739273887886315,-1.5848205673487412,1.4692319527543958,0.2419895823069932,-2.054067082862419,multivariate
2025-06-04 20:11:32.445522-04:00,21.09,68.14,0.42919921875,-0.0338134765625,0.8846435546875,0.9838442658383434,0,08:11:32 PM,0.022028810823720324,1,normal,-0.05739273887886315,-1.5848205673487412,1.8353393572477041,-0.003958477764218033,-1.4445705992823479,
